OECOL	OECOLOGY
AFFORDABIL	AFFORDABILITY
AFFORD	AFFORDABLE
AFR	AFRICA
AFROASIAT	AFROASIATIC
AFTERLOAD	AFTERLOADING
AFTERMARK	AFTERMARKET
AFTERTREAT	AFTERTREATMENT
AGBIOIND	AGBIOINDUSTRY
AGGLOM	AGGLOMERAT
AGGREG	AGGREGATE
AGGREG	AGGREGATION
AGGRESS	AGGRESSI
AGRAR	AGRARI
AGREEM	AGREEMENT
AGRIBIOL	AGRIBIOLOGY
AGRICHEM	AGRICHEMICAL
AGRIC	AGRICOL
AGRIC	AGRICULT
AGROCHEM	AGROCHEMISTRY
AGROECOL	AGROECOL
AGROFOR	AGROFORESTRY
AILM	AILMENT
AIRBR	AIRBRUSH
AIRCR	AIRCRAFT
AIRF	AIRFORCE
AIRFR	AIRFREIGHT
AIRL	AIRLINE
AIRPL	AIRPLANE
AIRPT	AIRPORT
AIRSH	AIRSHIP
AIRSP	AIRSPACE
AIRW	AIRWAY
AIRWORTH	AIRWORTHINESS
ALA	ALABAMA
ALTA	ALBERTA
ALTA	ALBERTAN
ALBUQ	ALBUQUERQUE
ALCHEM	ALCHEMIST
ALCOHOL	ALCOHOLI
ALGONQ	ALGONQUIAN
ALGONQ	ALGONQUIN
ALKYLAT	ALKYLAT
ALLEGH	ALLEGHENY
ALLELOCHEM	ALLELOCHEMISTRY
ALLELOPATH	ALLELOPATH
ALLERG	ALLERGEN
ALLERG	ALLERGI
ALLOT	ALLOTMENT
ALLOW	ALLOW
ALLOY	ALLOY
ALLUM	ALLUMIN
ALM	ALMANAC
ALPH	ALPHABET
ALP	ALPINE
ALTER	ALTERATION
ALTERN	ALTERNAT
ALT	ALTITUDE
ALUM	ALUMINIUM
AMALGAM	AMALGAMATE
AMARAN	AMARANTH
AMAZ	AMAZ
AMBULANC	AMBULANC
AMBUL	AMBULATORY
AMEND	AMEND
AM	AMERICA
AMITYV	AMITYVILLE
AMMON	AMMONIA
AMMUNIT	AMMUNITION
AMORPH	AMORPH
AMOUNT	AMOUNT
AMPLIF	AMPLIFICATION
AMPLIF	AMPLIFIER
AMUS	AMUSEMENT
AMYOTROPH	AMYOTROPHIC
ANAB	ANABOLI
ANAEROB	ANAEROBIC
ANAESTH	ANAESTHESIA
ANAESTHESIOL	ANAESTHESIOLOGY
ANAESTH	ANAESTHET
AN	ANALS
ANAL	ANALYT
ANAL	ANALYZ
ANAM	ANAMBRA
ANAPHYL	ANAPHYLAXIE
ANATOL	ANATOLIAN
ANAT	ANATOMY
ANC	ANCIENT
ANDROG	ANDROGEN
ANDROL	ANDROLOGY
ANESTH	ANESTHES
ANESTHESIOL	ANESTHESIOLOGY
ANESTH	ANESTHET
ANGIOGR	ANGIOGRAPHY
ANGIOTHER	ANGIOTHERAP
ANGL	ANGLICAN
ANIMAT	ANIMAT
ANKYL	ANKYLOSING
ANN	ANNAL
ANNAP	ANNAPOLIS
ANNIV	ANNIVERS
ANNOT	ANNOTAT
ANNOUNC	ANNOUNC
ANNU	ANNU
ANOINT	ANOINTING
ANOM	ANOMALY
ANON	ANONYMOUS
ANSW	ANSWER
ANTARCT	ANTARCTI
ANTHROPOG	ANTHROPOGEN
ANTHROPOR	ANTHROPOGRAPHY
ANTHROPOS	ANTHROPOSOPHY
ANTIDUMP	ANTIDUMPING
ANTIARRHYTHM	ANTIARRHYTHMIC
ANTIBACT	ANTIBACTERIAL
ANTIBIOTHER	ANTIBIOTHERAP
ANTIB	ANTIBODY
ANTICANCER	ANTICANCER
ANTICARCINOG	ANTICARCINOGEN
ANTICIP	ANTICIPATION
ANTIFUNG	ANTIFUNG
ANTIHYPERTENS	ANTIHYPERTENSI
ANTIMALAR	ANTIMALARIA
ANTIMICROB	ANTIMICROBI
ANTINEOPLAST	ANTINEOPLASTIC
ANTINUCL	ANTINUCLEAR
ANTINUTR	ANTINUTRIENT
ANTIOXID	ANTIOXIDANT
ANTIPOLLUT	ANTIPOLLUTION
ANTIQ	ANTIQU
ANTIRECESS	ANTIRECESSI
ANTIRETROVIR	ANTIRETROVIR
ANTIRHEUM	ANTIRHEUMATI
ANTISEISM	ANTISEISMI
ANTITUBERC	ANTITUBERCULOS
ANTIVIR	ANTIVIRAL
APARTM	APARTMENT
APATHOG	APATHOGENIC
APHAER	APHAERE
APHER	APHERE
APIC	APICULT
APL	APLICA
APOSTOL	APOSTOLATE
APOSTOL	APOSTOLIC
APPALACH	APPALACHIAN
APPAR	APPAREL
APPEAR	APPEAR
APPET	APPETISER
APPL	APPLIANCE
APPL	APPLICA
APPL	APPLIED
APPL	APPLYING
APPOINT	APPOINT
APPOINTM	APPOINTMENT
APPRAIS	APPRAIS
APPREC	APPRECIATION
APPRENT	APPRENTIC
APPRENTICESH	APPRENTICESHIP
APPROPR	APPROPRIATE
APPROPR	APPROPRIATION
APPROV	APPROV
APPROX	APPROXIMATION
APRAX	APRAX
APRIC	APRICOT
AQUAC	AQUACULTUR
AQUARIC	AQUARICULTUR
AQUATECH	AQUATECH
ARBORIC	ARBORICULT
ARCHAEOASTRON	ARCHAEOASTRONOM
ARCHAEOL	ARCHAEOLOGY
ARCHAEOMETALL	ARCHAEOMETALLURG
ARCHAEOM	ARCHAEOMETER
ARCHDEAC	ARCHDEACONRY
ARCHDIOC	ARCHDIOCESE
ARCHEOL	ARCHEOLOGY
ARCHIPEL	ARCHIPELAGO
ARCHIT	ARCHITECTURE
ARCHITECTON	ARCHITECTONI
ARCT	ARCTIC
ARGON	ARGONAUT
ARIS	ARISING
ARISTOT	ARISTOTEL
ARITH	ARITHMETIC
ARIZ	ARIZONA
ARK	ARKANSAS
ARLINGT	ARLINGTON
ARMD	ARMDALE
ARMEN	ARMENIA
ARMEN	ARMENIAN
AROMATHER	AROMATHERAPY
ARRANGE	ARRANGEMENT
ARREAR	ARREAR
ARRHYTHM	ARRHYTHMIAS
ARRIV	ARRIVAL
ARROWH	ARROWHEAD
ARTHEROSCLER	ARTHEROSCLEROS
ARTHROPLAST	ARTHROPLAST
ARTHROSC	ARTHROSCOP
ARTHROSC	ARTHROSCOPY
ARTHUR	ARTHURIAN
ARTICUL	ARTICUL
ARTIF	ARTIFICI
ARTILL	ARTILLERY
ASBESTOS	ASBESTOSIS
ASHF	ASHFORD
ASHKEN	ASHKENAZIC
ASIST	ASISTENC
ASSAY	ASSAYER
ASSERT	ASSERT
ASSESS	ASSESSED
ASSESS	ASSESSING
ASSESS	ASSESSMENT
ASSIGN	ASSIGNMENT
ASSIM	ASSIMIL
ASSOC	ASSOCIATION
ASSUMPT	ASSUMPTION
ASSUR	ASSUR
ASTEROSEISMOL	ASTEROSEISMOLOGY
ASTONISH	ASTONISHING
ASTROBIOL	ASTROBIOLOGY
ASTROCHEM	ASTROCHEMISTRY
ASTRODYN	ASTRODYNAM
ASTROM	ASTROMETER
ASTROPART	ASTROPARTICLE
ASYMPTOT	ASYMPTOTIC
ATHEN	ATHENIAN
ATHEROG	ATHEROGEN
ATHEROSCLER	ATHEROSCLERO
ATHEROSCLEROL	ATHEROSCLEROLOGY
ATHL	ATHLETIC
ATL	ATLANTI
ATL	ATLANTIC
ATR	ATRIAL
ATTAIN	ATTAINMENT
ATTEND	ATTENDANCE
ATTEN	ATTENTION
ATTY	ATTORNEY
ATTRACT	ATTRACTION
ATTRACT	ATTRACTIVE
ATYP	ATYPICAL
AUCHEN	AUCHENORRHYNCHA
AUCKL	AUCKLAND
AUCTION	AUCTION
AUDACC	AUDACCOUNT
AUDIOV	AUDIOVISUAL
AUDIOV	AUDIOVISION
AUDIOV	AUDIOVISUAL
AUGUSTIN	AUGUSTINIAN
AUROR	AURORAL
AUSTRALAS	AUSTRALASIA
AUTHENT	AUTHENTICITY
AUTH	AUTHORIS
AUTH	AUTHORITY
AUTH	AUTHORIZ
AUTOIMMUN	AUTOIMMUNIT
AUTOIONIZ	AUTOIONIZATION
AUTOMOB	AUTOMOBIL
AUTOMOT	AUTOMOTIVE
AUTOXID	AUTOXIDATION
AUX	AUXILIA
AVAILAB	AVAILABILITY
AVENG	AVENGER
AVE	AVENUE
AVER	AVERAGE
AVIAT	AVIATION
AVIAT	AVIATOR
AVION	AVION
AVOID	AVOID
AWAK	AWAK
AWARD	AWARD
AWARE	AWARENESS
AYRSH	AYRSHIRE
BABYLON	BABYLONIAN
BABYSITT	BABYSITT
BACILL	BACILLARY
BACKCALC	BACKCALCULAT
BACKGAM	BACKGAMMON
BACKGR	BACKGROUND
BACKPACK	BACKPACKER
BACKWOODSM	BACKWOODSMAN
BACT	BACTERIA
BACT	BACTERIE
BACTERIOL	BACTERIOLOGY
BACT	BACTERIUM
BAK	BAKER
BAK	BAKING
BALC	BALCANIC
BALLAD	BALLAD
BALLER	BALLERINA
BALLIST	BALLISTI
BALLOON	BALLOON
BALNEOTHER	BALNEOTHERAP
BALTIM	BALTIMORE
BAMF	BAMFIELD
BANAN	BANAN
BAND	BANDING
BANDSM	BANDSMAN
BANDWAG	BANDWAGON
BANG	BANGOR
BANK	BANKER
BANK	BANKING
BANKST	BANKSTOWN
BAPTIST	BAPTIST
BARBAR	BARBAR
BARGAIN	BARGAIN
BARIATR	BARIATRIC
BARK	BARKER
BARORECEPT	BARORECEPTOR
BARRINGT	BARRINGTON
BARRYT	BARRYTOWN
BART	BARTER
BASEB	BASEBALL
BASIC	BASICALLY
BASIL	BASILIAN
BASKETB	BASKETBALL
BASKETMAK	BASKETMAKER
BASS	BASSIST
BASSOON	BASSOONIST
BASUTOL	BASUTOLAND
BATH	BATHING
BATHR	BATHROOM
BATHYMETR	BATHYMETRI
BATTER	BATTER
BATTLEF	BATTLEFIELD
BATTLEF	BATTLEFORD
BAVAR	BAVARIAN
BAYL	BAYLOR
BEAC	BEACON
BEACONSFLD	BEACONSFIELD
BEAMSV	BEAMSVILLE
BEAR	BEARER
BEAR	BEARING
BEATIT	BEATITUDE
BEAUCEV	BEAUCEVILLE
BECHUANAL	BECHUANALAND
BECOM	BECOMING
BEDS	BEDFORDSHIRE
BEECHCR	BEECHCRAFT
BEEKEEP	BEEKEEPER
BEEKEEP	BEEKEEPING
BEFRIEND	BEFRIENDING
BEGIN	BEGINNER
BEGIN	BEGINNING
BEHAV	BEHAVIOR
BEHAV	BEHAVIOUR
BELARUS	BELARUSSIAN
BELF	BELFAST
BELG	BELGI
BELONG	BELONG
BENEF	BENEFICIENCE
BENTHOL	BENTHOLOGY
BEREAVE	BEREAVEMENT
BERGENF	BERGENFIELD
BERKS	BERKSHIRE
BERMUD	BERMUD
BERMUDAGR	BERMUDAGRASS
BERWICKS	BERWICKSHIRE
BESTSELL	BESTSELLER
BIWKLY	BIWEEKLY
BIANNU	BIANNUAL
BIBLIOSERV	BIBLIOSERVICE
BIBL	BIBLIOTHEC
BICENTEN	BICENTEN
BICYCL	BICYCL
BIEN	BIENAL
BIENN	BIENNIAL
BIENN	BIENNUAL
BIFIDOBACT	BIFIDOBACTERI
BILATER	BILATERAL
BILHARZ	BILHARZIASIS
BILING	BILINGU
BILLEN	BILLENNIUM
BIMON	BIMONTHLY
BIN	BINAR
BINATL	BINATIONAL
BIND	BIND
BINGHAMT	BINGHAMTON
BINOCUL	BINOCULAR
BIOACT	BIOACTIVE
BIOANAL	BIOANALY
BIOAVAILAB	BIOAVAILABILITY
BIOBEHAV	BIOBEHAV
BIOCATAL	BIOCATALY
BIOCENOL	BIOCENOLOGY
BIOCERAM	BIOCERAMI
BIOCHEM	BIOCHEMISTRY
BIOCLIMATOL	BIOCLIMATOLOGY
BIOCOMPAT	BIOCOMPATIBIL
BIOCOMPUT	BIOCOMPUT
BIOCONC	BIOCONCENTRAT
BIOCYBERN	BIOCYBERNETIC
BIODEGRAD	BIODEGRAD
BIODETERIOR	BIODETERIORAT
BIODIVERS	BIODIVERSITY
BIODYN	BIODYNAMIC
BIOELECTR	BIOELECTRICITY
BIOELECTROANAL	BIOELECTROANALY
BIOELECTROMAGN	BIOELECTROMAGN
BIOELECTRON	BIOELECTRONICS
BIOENG	BIOENGINEERING
BIOETH	BIOETHICS
BIOGENER	BIOGENERAT
BIOGENET	BIOGENET
BIOGEOCHEM	BIOGEOCHEMISTRY
BIOHYDROMETALL	BIOHYDROMETALLURG
BIOIND	BIOINDUSTRY
BIOINFORMA	BIOINFORMATICS
BIOLUMIN	BIOLUMINESCEN
BIOMAGN	BIOMAGNETI
BIOMARK	BIOMARKER
BIOMED	BIOMEDIC
BIOMEMBR	BIOMEMBRAN
BIOMIM	BIOMIMETIC
BIOMOL	BIOMOLECULAR
BIONANOTECHNOL	BIONANOTECHNOLOGY
BIOPATHOL	BIOPATHOLOGY
BIOPESTIC	BIOPESTICID
BIOPHARM	BIOPHARMACEUT
BIOPREP	BIOPREPAR
BIOPROCESS	BIOPROCESSING
BIOPROD	BIOPRODUCTION
BIOPSYCHOSOC	BIOPSYCHOSOCIAL
BIOREACT	BIOREACTI
BIOREACT	BIOREACTOR
BIORECOGNIT	BIORECOGNITION
BIORESOUR	BIORESOURC
BIORGAN	BIORGANIC
BIORYTHM	BIORYTHM
BIOSAF	BIOSAFETY
BIOSCI	BIOSCIENCE
BIOSENS	BIOSENSOR
BIOSENS	BIOSENSORS
BIOSEP	BIOSEPARATION
BIOSOC	BIOSOCIAL
BIOSTAT	BIOSTATIST
BIOSTEREOM	BIOSTEREOMETER
BIOSYNTH	BIOSYNTHESIS
BIOSYST	BIOSYSTEM
BIOTEST	BIOTEST
BIOTREAT	BIOTREATMENT
BIRD	BIRDING
BIRDKEEP	BIRDKEEPER
BIRM	BIRMINGHAM
BIRTHD	BIRTHDAY
BIRTHPL	BIRTHPLACE
BISANNU	BISANNUEL
BISH	BISHOP
BISH STORTFORD	BISHOPS STORTFORD
BISTAB	BISTABILITY
BITUM	BITUMEN
BITUM	BITUMINOUS
BIWKLY	BIWEEKLY
BLACKSBG	BLACKSBURG
BLACKSM	BLACKSMITH
BLEACH	BLEACH
BLENH	BLENHEIM
BLESS	BLESSING
BLIND	BLIND
BLOOM	BLOOM
BLOOMINGT	BLOOMINGTON
BLOSS	BLOSSOM
BLUEB	BLUEBOOK
BLUEPR	BLUEPRINT
BOARD	BOARDER
BOARD	BOARDING
BOARDR	BOARDROOM
BOARDSAIL	BOARDSAILOR
BOATBUILD	BOATBUILD
BOAT	BOATING
BODYBUILD	BODYBUILDER
BODYBUILD	BODYBUILDING
BODYTRAIN	BODYTRAINING
BODYW	BODYWORK
BOIL	BOIL
BOILERH	BOILERHOUS
BOND	BOND
BOOKBIND	BOOKBIND
BOOKBUY	BOOKBUYER
BOOKDEAL	BOOKDEALER
BOOKF	BOOKFUND
BOOK	BOOKING
BOOKKEEP	BOOKKEEP
BOOKKEEP	BOOKKEEPER
BOOKL	BOOKLET
BOOKMAK	BOOKMAKER
BOOKM	BOOKMAN
BOOKMARK	BOOKMARK
BOOKPL	BOOKPLATE
BOOKS	BOOKSELL
BOOKST	BOOKSTORE
BOOKW	BOOKWORM
BOOST	BOOST
BORD	BORDER
BORDERL	BORDERLAND
BOREH	BOREHOLE
BORROW	BORROWING
BORST	BORSTAL
BOTSW	BOTSWANA
BLVD	BOULEVARD
BOUND	BOUNDARY
BOUND	BOUNDRY
BOURNEM	BOURNEMOUTH
BOWHUNT	BOWHUNT
BOWL	BOWLING
BOX	BOXING
BOYCOTT	BOYCOTT
BRADF	BRADFORD
BRADSTR	BRADSTRET
BRAID	BRAIDING
BRANCH	BRANCHING
BRANCHL	BRANCHLINE
BRAZ	BRAZIL
BREAK	BREAK
BREAKF	BREAKFAST
BREAKTHR	BREAKTHROUGH
BREASTFEED	BREASTFEEDING
BREATH	BREATHING
BREECHLOAD	BREECHLOADING
BREED	BREEDER
BREED	BREEDING
BRETHR	BRETHREN
BREW	BREWER
BREW	BREWING
BRICKLAY	BRICKLAY
BRIDG	BRIDG
BRIDGET	BRIDGETOWN
BRIDGEW	BRIDGEWATER
BRIEFC	BRIEFCASE
BRIEF	BRIEFING
BRIGH	BRIGHAM
BRIGHT	BRIGHT
BRILL	BRILLANT
BRILL	BRILLIAN
BRIQUET	BRIQUETTING
BRISB	BRISBANE
BR	BRITAIN
BR	BRITISH
BC	BRITISH COLUMBIA
BROADCAST	BROADCAST
BROADSH	BROADSHEET
BROADS	BROADSIDE
BROCKP	BROCKPORT
BROCKV	BROCKVILLE
BROK	BROKER
BROK	BROKERAGE
BROK	BROKING
BROMEL	BROMELI
BRONCHOL	BRONCHOLOGY
BRONXV	BRONXVILLE
BROOK	BROOKING
BROTHER	BROTHER
BROWS	BROWS
BRUNSW	BRUNSWICK
BRUSHMAK	BRUSHMAK
BRUSS	BRUSSELS
BRYOECOL	BRYOECOLOGY
BRYOZOOL	BRYOZOOLOGY
BUCCAN	BUCCANER
BUCHAR	BUCHAREST
BUCK	BUCKINGHAM
BUCKS	BUCKINGHAMSHIRE
BUCKMAST	BUCKMASTER
BUDDH	BUDDHIST
BUDGER	BUDGERIGAR
BUDG	BUDGET
BUDG	BUDGETARY
BUDG	BUDGETING
BUG	BUGGY
BUILD	BUILDER
BUILD	BUILDING
BULG	BULGAR
BULK	BULKING
BUMP	BUMP
BURD	BURDEN
BURLINGT	BURLINGTON
BURN	BURN
BURS	BURSARY
BUSHWALK	BUSHWALK
BUSHWHACK	BUSHWHACK
BUS	BUSINESS
BUSINESSM	BUSINESSMAN
BUTCH	BUTCHER
BUTL	BUTLER
BUTTON	BUTTONEER
BUY	BUYABLE
BUY	BUYER
BUY	BUYING
BYELORUSS	BYELORUSSIAN
BYPROD	BYPRODUCT
CABINETMAK	CABINETMAKING
CALAM	CALAMIT
CALCIF	CALCIFICATION
CALC	CALCUL
CALED	CALEDONIAN
CAL	CALENDAR
CALG	CALGARY
CALIF	CALIFORNIA
CALIOL	CALIOLOGIST
CALISTHEN	CALISTHEN
CALLB	CALLBOOK
CALL	CALLED
CALLIGR	CALLIGRAPHY
CALL	CALLING
CALORIM	CALORIMETRY
CALVIN	CALVINISM
CAMBODG	CAMBODGI
CAMBR	CAMBRIAN
CAMB	CAMBRIDGE
CAMBS	CAMBRIDGESHIRE
CAMCORD	CAMCORDER
CAMOUFL	CAMOUFLAGE
CAMPAIGN	CAMPAIGN
CAN	CANADA
CAN	CANADI
CANALIZ	CANALIZATION
CANCEL	CANCEL
CANCEROL	CANCEROLOGY
CANCROL	CANCROLOGY
CANEGROW	CANEGROWER
CANMAK	CANMAKER
CANMAK	CANMAKING
CANN	CANNED
CANN	CANNER
CANN	CANNING
CANOE	CANOE
CANOESP	CANOESPORT
CANTERB	CANTERBURY
CANVEY ISL	CANVEY ISLAND
CAPAB	CAPABILITY
CAPILL	CAPILLARY
CAP	CAPITAL
CAPSUL	CAPSUL
CAPT	CAPTAIN
CAPTIV	CAPTIV
CARBOCAT	CARBOCATION
CARBOCYCL	CARBOCYCLIC
CARBOHYDR	CARBOHYDRATE
CARBONIF	CARBONIFEROUS
CARBUR	CARBURANT
CARCINOG	CARCINOGEN
CARDIOANGIOL	CARDIOANGIOLOGY
CARDIOCIRC	CARDIOCIRCULATION
CARDIOGR	CARDIOGRAPHY
CARDIOL	CARDIOLOGY
CARDIOPROT	CARDIOPROTECTI
CARDIOPULM	CARDIOPULMONARY
CARDIORESPIR	CARDIORESPIRAT
CARDIOTHORAC	CARDIOTHORACIC
CARDIOVASC	CARDIOVASC
CAREGIV	CAREGIVER
CARIBB	CARIBBEAN
CARIOL	CARIOLOGY
CARLET	CARLETON
CARMARTHENS	CARMARTHENSHIRE
CARNAT	CARNATION
CARNIV	CARNIVOR
CARNOISS	CARNOISSEUR
CAROL	CAROLINA
CARPENT	CARPENTER
CARPET	CARPETING
CARPINT	CARPINTER
CARR	CARRIER
CARR	CARRYING
CARTES	CARTESIAN
CARTIL	CARTILAGE
CARTOGR	CARTOGRAPHY
CARTOON	CARTOON
CASH	CASHED
CASINGH	CASINGHEAD
CASP	CASPIAN
CASTELL	CASTELLANO
CAST	CASTING
CATAL	CATALYSIS
CATAL	CATALYT
CATASTR	CATASTROPHISM
CATCH	CATCHING
CATECH	CATECHIST
CATEG	CATEGORY
CATER	CATER
CATERP	CATERPILLAR
CATHAR	CATHAR
CATH	CATHARINE
CATHEDR	CATHEDRAL
CATHETER	CATHETER
CATHOL	CATHOLI
CATONSV	CATONSVILLE
CATTLEM	CATTLEMAN
CATTLEW	CATTLEWOMAN
CAUC	CAUCASIAN
CAUC	CAUCASUS
CAUFLD	CAUFIELD
CAULIFL	CAULIFLOWER
CAUSEW	CAUSEWAY
CECHOSLOV	CECHOSLOV
CECIDIOL	CECIDIOLOGY
CEDARV	CEDARVILLE
CEIL	CEILING
CELEST	CELESTIAL
CELL	CELLULA
CELL	CELLULE
CELLUL	CELLULOS
CEM	CEMENT
CEMET	CEMETRY
CENSORSH	CENSORSHIP
CENTEN	CENTEN
CENT	CENTER
CENTRAFR	CENTRAFRIC
CENTRIF	CENTRIFUGAL
CEPHALOP	CEPHALOPOD
CERAM	CERAMIC
CEREB	CEREBRAL
CEREBROVASC	CEREBROVASCULAR
CEREM	CEREMON
CERTAIN	CERTAIN
CERTIF	CERTIFICAT
CERTIF	CERTIFIED
CERV	CERVICAL
CERVICOFAC	CERVICOFACIAL
CESSAT	CESSATION
CHAIRM	CHAIRMAN
CHALL	CHALLENGE
CHALL	CHALLENGER
CHAMB	CHAMBER
CHAMBERSBG	CHAMBERSBURG
CHANCELL	CHANCELLER
CHANCELL	CHANCELLOR
CHANDL	CHANDLER
CHAPB	CHAPBOOK
CHAP HILL	CHAPEL HILL
CHAPELT	CHAPELTOWN
CHAPLAIN	CHAPLAIN
CHARACT	CHARACTERIZATION
CHARACT	CHARACTERISTIC
CHARLEST	CHARLESTON
CHARLOTTESV	CHARLOTTESVILLE
CHARLOTTET	CHARLOTTETOWN
CHART	CHARTER
CHART	CHARTERED
CHAS	CHASING
CHAST	CHASTITY
CHATT	CHATTANOOGA
CHAUNC	CHAUNCEY
CHECKL	CHECKLIST
CHECKP	CHECKPOINT
CHELMSF	CHELMSFORD
CHELTEN	CHELTENHAM
CHEM	CHEMIC
CHEMIGR	CHEMIGRAPHY
CHEMILUMIN	CHEMILUMINESCEN
CHEMISORPT	CHEMISORPTION
CHEM	CHEMISTRY
CHEM	CHEMIZ
CHEMOM	CHEMOMETER
CHEMON	CHEMONOMIC
CHEMORECEPT	CHEMORECEPT
CHEMORHEOL	CHEMORHEOLOGY
CHEMOSENS	CHEMOSENSOR
CHEMOSYST	CHEMOSYSTEM
CHEMOTAXON	CHEMOTAXONOM
CHEMOTHER	CHEMOTHERAP
CHEMURG	CHEMURG
CHEROK	CHEROKEE
CHERUB	CHERUBI
CHESAP	CHESAPEAKE
CHES	CHESHIRE
CHESSPLAY	CHESSPLAY
CHESTERV	CHESTERVILLE
CHIC	CHICAGO
CHICK	CHICKEN
CHILDBEAR	CHILDBEAR
CHILD	CHILDHOOD
CHILDREAR	CHILDREAR
CHILD	CHILDREN
CHIL	CHILEAN
CHILL	CHILL
CHIN	CHINESE
CHIROP	CHIROPOD
CHIROPR	CHIROPRACTIC
CHIROPR	CHIROPRACTOR
CHIROPT	CHIROPTERA
CHIR	CHIRURG
CHOC	CHOCOLAT
CHOICEL	CHOICELAND
CHOOS	CHOOSING
CHOP	CHOPPER
CHORIST	CHORISTER
CHOWD	CHOWDER
CHRISTADELPH	CHRISTADELPHIAN
CHRISTCH	CHRISTCHURCH
CHRISTOL	CHRISTOLOGY
CHRIST	CHRISTORIUM
CHROMATOGR	CHROMATOGRAPHY
CHROMOSPH	CHROMOSPHERE
CHRON	CHRONICLE
CHRONOBIOTECHNOL	CHRONOBIOTECHNOLOGY
CHRONOM	CHRONOMETER
CHRONOPHARMACOL	CHRONOPHARMACOLOGY
CHRONOSTRATIGR	CHRONOSTRATIGRAPHIC
CHRONOTHER	CHRONOTHERAP
CHRYSAL	CHRYSALIS
CHRYSANTH	CHRYSANTH
CHURCHM	CHURCHMAN
CIBERN	CIBERNETIC
CINE	CINEMA
CINEMATOGR	CINEMATOGRAPHY
CINERADIOGR	CINERADIOGRAPHY
CIRC	CIRCLE
CIRCUMST	CIRCUMSTANCE
CIT	CITATION
CITIZ	CITIZEN
CITIZSH	CITIZENSHIP
CITOGR	CITOGRAPHY
CITOL	CITOLOGY
CITRIC	CITRICULT
CITROGR	CITROGRAPHY
CITROL	CITROLOGY
CIV	CIVIC
CIV	CIVIL
CIV	CIVILIAN
CIVILIS	CIVILISED
CIVILIS	CIVILISING
CIVILIZ	CIVILIZATION
CIV	CIVILS
CLACKMANNANS	CLACKMANNANSHIRE
CLAR	CLARION
CL	CLASS
CL	CLASSE
CLASS	CLASSIC
