Authors	Title	Year	Source title	Volume	Issue	Art. No.	Page start	Page end	Page count	Cited by	Link	Affiliations	Authors with affiliations	Abstract	Author Keywords	Index Keywords	Molecular Sequence Numbers	Chemicals/CAS	Tradenames	Manufacturers	Funding Details	References	Correspondence Address	Editors	Sponsors	Publisher	Conference name	Conference date	Conference location	Conference code	ISSN	ISBN	CODEN	DOI	PubMed ID	Language of Original Document	Abbreviated Source Title	Document Type	Source
Reynolds P.	Northern light	2013	Tunnels and Tunnelling International		JULY 2013		48	51			http://www.scopus.com/inward/record.url?eid=2-s2.0-84880413435&partnerID=40&md5=9665abe3052f5c77b0a083b735b3dc21		Reynolds, P.	Sweden and Finland are planning to bury high-level nuclear waste in an underground area around the early 2020s. The elected site in Sweden is at Forsmark, north east of Stockholm, and it had to compete for the right to be the candidate site. After years of site investigation, the Swedish Nuclear Fuel and Waste Management Co filed an application for the license to construct and operate the high level waste vault in 2011. Site investigation data had revealed stresses in the granitic rock mass, which is part of the Fennoscandian Shield, to be less than expected; the stress profile did not rise with depth as quickly as had been estimated. Less stress meant more opportunity to excavate, and at deeper depths, to create storage vaults without detrimental stress release and negative effects on the quality of the rock mass. The result was that a vault could be located about 470m below the surface at Forsmark, or almost the same depth Oskarshamn.		radioactive waste; rock mass response; site investigation; stress analysis; underground construction; underground storage; waste disposal; Baltic Shield; East European Craton; Finland; Forsmark; Kalmar [Sweden]; Oskarshamn; Stockholm [Sweden]; Sweden; Uppsala [Sweden]							Reynolds, P.								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
McHugh M.	Big Apple storm surge	2013	Tunnels and Tunnelling International		JULY 2013		22	24			http://www.scopus.com/inward/record.url?eid=2-s2.0-84880401289&partnerID=40&md5=357ab8cc009722afebc8879f6ae0f277		McHugh, M.	The article explains where and how dewatering operations dried out the Big Apple. Los Angeles County Metropolitan Transportation Authority (Metro) will be seeking the remainder in federal matching funds through the New Starts Program. it is also said to be pursuing alternate funding scenarios that could accelerate subway construction possibly allowing the entire 9-mile (14.5km) project to be built in one phase at a reduced cost and opened as early as 2023. What is waiting in the pipeline boasts the biggest price tags. The Transbay Transit Center/Caltrain Downtown Extension (TrC/DTX), in downtown San Francisco will include underground construction and has a budget estimated at $ 4.1bn. Though currently funding is lacking for the $2.5bn Phase Two. In Los Angeles, there are tunnels forthcoming for the region's metro line with funding lined up through increased taxes.		development project; dewatering; metropolitan area; pipeline; storm surge; tunneling; underground construction; Malus x domestica							McHugh, M., New York, United States								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Robinson N.	West is best	2013	Tunnels and Tunnelling International		JULY 2013		19	21			http://www.scopus.com/inward/record.url?eid=2-s2.0-84880430109&partnerID=40&md5=c61acd77c5a13d9eeb5fc5eb38adff5c	Tunnels North America, United States	Robinson, N., Tunnels North America, United States	The market for mega projects is moving to the west coast as tunneling wraps up on most New York subway drives. A report released in March by New York's comptroller Thomas Dinapoli highlights delays and cost overruns on the ESA project. The MTA's initial estimate of $4.3bn has grown to $ 8.25bn, with completion pushed back 10 years, from 2009 to 2019. In response to a draft copy of the state comptroller's report, the MTA explains that its initial 1999 estimate was based on conceptual plans and that there was virtually no engineering behind the estimate. The follow-on finishes contract, which will complete the mezzanine and platforms, station entrances, ancillary buildings and the mechanical, electrical and plumbing systems for the station was awarded to Judlau Contracting on February 14, 2013. Hartford, Connecticut, and the Narragansett Bay Commission in Rhode Island, are two of many cities and municipalities working to eliminate CSOs.		development project; engineering geology; tunneling; urban area; New York [United States]; United States							Robinson, N.; Tunnels North AmericaUnited States								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Evans A.	Tunnel systems in a fire	2013	Tunnels and Tunnelling International		JULY 2013		37	41			http://www.scopus.com/inward/record.url?eid=2-s2.0-84880447025&partnerID=40&md5=a81ae1dde970df03e1a2855a34317684	Aegis Tunnel Consulting, United Kingdom	Evans, A., Aegis Tunnel Consulting, United Kingdom	Andy Evans, chairman of the Road Tunnel Operator Association, offers insight into various issues concerning tunnel systems in a fire situation. Tunnel fires can generate large quantities of very hot smoke. This smoke is thermally buoyant and tends to accumulate in a hot layer immediately below the soffit of the tunnel. In the UK, as in many other European countries, it has become standard practice to include the installation of passive fire protection as a part of the design considerations for a tunnel refurbishment. The application of passive fire protection serves to thermally insulate the structure of the tunnel from the effects of a fire, thereby protect it from fire damage. The application of thermal insulation does not, of course, reduce the amount of heat energy emitted by the fire. It simply prevents that heat energy from being absorbed. A good starting point to start to look at potential fire damage is to examine in more detail the structure of tunnel cables.		fire management; insulation; temperature effect; tunnel design; tunneling; United Kingdom							Evans, A.; Aegis Tunnel ConsultingUnited Kingdom								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Tarada F.	Fire supression benefits	2013	Tunnels and Tunnelling International		JULY 2013		43	47			http://www.scopus.com/inward/record.url?eid=2-s2.0-84880443439&partnerID=40&md5=03830b5f7147bcbafb378986edcb3e72	PIARC, United States	Tarada, F., PIARC, United States	The article is a preview of a paper by Fathi Tarada, managing director of fire safety, risk management, ventilation and CFD consultant Mosen, which is due to be published in the forthcoming International Symposium on Aerodynamics, Ventilation and Fire in Tunnels to be held in Barcelona in September 2013. The first tunnel fire suppression systems in the UK were commissioned in the New Tyne Crossing in 2011, and the installation of high-pressure mist systems is currently ongoing in the Dartford Tunnels between Kent and Essex. Other tunnels in the UK are actively considering such fire suppression systems. However, tunnel operators are certainly justified in asking what the benefits of fire suppression are, and whether their price tag can really be justified. Suppression systems have the potential of reducing the intensity of any fires, so as to reduce the extent of any damage to the tunnel structure and equipment, and also serve to protect tunnel users from the effects of fire.		fire management; installation; risk assessment; safety; tunnel design; England; Essex [England]; Kent; United Kingdom							Tarada, F.; PIARCUnited States								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Stehlik E., Soukup V.	Prague metro	2013	Tunnels and Tunnelling International		JUNE		21	26			http://www.scopus.com/inward/record.url?eid=2-s2.0-84878689123&partnerID=40&md5=eacc49cb0a166d315eaee7077877ae4c	Metrostav, Czech Republic	Stehlik, E., Metrostav, Czech Republic; Soukup, V., Metrostav, Czech Republic	The article explains how the purchase of Herrenknecht TBMs for the metro V.A extension by Metrostav brought about a long-awaited turning point in the construction work. The machines are EPB type, production numbers S-609 (Tonda) and S-610 (Adéla). The names were given to the machines by children from Motol Hospital. During the negotiation with Herrenknecht, and for factory and site acceptances, Metrostav employed John Foster, the prominent TBM expert from the UK. EPBM boring was successful, and the required skills for assembly and operation were mastered rather quickly. During the assembly, and later during operation, a number of specialists from Herrenknecht and its sub-companies H+E and VMT were present on the site. Many other companies supplied material and technical help, including BASF, Mapel and Condat. Segment production was by Doprastav Bratislava at their segment factory in Senec, with nine sets of stationary moulds supplied by Herrenknecht Formwork.		metro system; TBM; tunneling; underground construction; Czech Republic; Prague; Adela							MetrostavCzech Republic								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Willis D.	Massive metros	2013	Tunnels and Tunnelling International		JUNE		29	32			http://www.scopus.com/inward/record.url?eid=2-s2.0-84878699842&partnerID=40&md5=375e2b29df50f91cddb818837700b18e	TBM Design, United States	Willis, D., TBM Design, United States	The article examines the logistical changes associated with the rise in grand metro schemes. From Moscow New Delhi to Singapore, governments are initiating large and extensive new metro projects to deal with rising populations and increasing commute times. The 21 km section the Downtown Line Three in Singapore is underway, using 29 TBMs excavating between 16 station sites in short bores often less than 1 km each. The effect of these large projects is equally massive: whole new subway systems built in a single push have a large impact on the local population, are logistically complex, require substantial funding, and can present many challenges to the tunneling community. In Russia's capital city of more than 12 million people, the average Muscovite has become accustomed to daily commutes of two hours or more. The metro system, nearly entirely underground, involves the use of dozens of mixed ground EPBMs: the largest simultaneous construction by TBM that has ever taken place in the city.		logistics; metro system; TBM; tunneling; underground construction; Delhi; India; Moscow [Russian Federation]; New Delhi; Russian Federation; Singapore [Singapore (NTN)]; Singapore [Southeast Asia]							Willis, D.; TBM DesignUnited States								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Richards D.	New dawn	2013	Tunnels and Tunnelling International		JUNE		17	18			http://www.scopus.com/inward/record.url?eid=2-s2.0-84878725022&partnerID=40&md5=e779776370eb6396047bd109712833a8	Timetric, United Kingdom	Richards, D., Timetric, United Kingdom	Indonesia, a sprawling archipelago of around 1.9 million square kilometers and with a population of some 245 million people, is increasingly being considered alongside the Brazil, Russia, India, China (BRIC) as an emerging market with the potential to be a major global economic heavyweight in the coming decades. The Indonesian government has maintained a prudent fiscal policy stance in recent years, which, along with a well crafted monetary policy, has put the economy into strong and stable growth. The government has succeeded in consistently maintaining the deficit below three per cent of GDP over the past 10 years. It has also managed to reduce its debt burden from a peak of 77 per cent of GDP in 2001 to just 24 per cent in 2012. Interest payments, which peaked to about 5.3 per cent of GDP in 2001, have also gradually been brought down, to just over one per cent of GDP in 2011.		budget deficit; developing world; economic growth; fiscal policy; Gross Domestic Product; Indonesia							Richards, D.; TimetricUnited Kingdom								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
El Naggar H., Steele T.	Studying stress	2013	Tunnels and Tunnelling International		JUNE		35	39			http://www.scopus.com/inward/record.url?eid=2-s2.0-84878710142&partnerID=40&md5=4248c5310b79865f1088101bfb0a7d4e	University of New Brunswick, Canada	El Naggar, H.; Steele, T., University of New Brunswick, Canada	An extensive parametric study was performed to examine the effect of tunnel lining stiffness on the stress distribution around shallow tunnels. The continuous increase in demand for better and more sustainable travel facilities in major cities has led to a significant increase in the interest in routing roads, railways and metros through tunnels. Due to the abundance of existing underground infrastructure at deeper depths, tunnels in urban areas are often being constructed at shallow depths. Bottom-up construction involves the excavation of a trench in which the tunnel is erected. Temporary structures, such as sheet pile walls, secant pile walls, tangent pile walls or sheet pile walls are usually required and installed before the excavation takes place to support it. Providing unreinforced side slopes may require the removal of up to six times more material, and spread an additional three tunnel diameters on either side of the excavation for tunnels with depth of cover equal to its diameter.		sheet piled wall; stiffness; stress; tunnel lining							University of New BrunswickCanada								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Feiersinger A., Lea P.	Sprayed overbridges	2013	Tunnels and Tunnelling International		JUNE		45	50			http://www.scopus.com/inward/record.url?eid=2-s2.0-84878683123&partnerID=40&md5=7cfbfafb6c41ecc05a3b2347d8ae4752	London Offices, United Kingdom; Tunnels and Underground Spaces, Department of Halcrow, United Kingdom	Feiersinger, A., London Offices, United Kingdom; Lea, P., Tunnels and Underground Spaces, Department of Halcrow, United Kingdom	The Tottenham Court Road Station Upgrade (TCRSB) project has designed and constructed two sprayed concrete lined overbridges passing directly over the operational Central Line platform tunnels. The primary objective of all tunneling works at TCRSU was to minimize ground movements. To this extent reducing excavated area, speed to tunnel ring closure and controlled tunnel advances were critical. The primary ground support for the main tunnels is steel fiber reinforced sprayed concrete with a spray applied waterproof membrane located at the boundary between the primary and secondary linings. The installation of the steel frames was made significantly easier because they were carried out within the temporary SCL shell. Removal of the crown segments of the platform tunnels required a full line closure and each was carried out during a 52 hour weekend possession. To ensure speed of installation, steel I-beams were half cast in concrete so they could be lowered into place and act as permanent formwork for the overbridge floor slab.		bridge construction; ground movement; reinforced concrete; tunnel lining; tunneling						(2006) Guideline Sprayed Concrete, , ÖvBB, August; (1996) European Specification for Sprayed Concrete, , EFNARC	London OfficesUnited Kingdom								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Greeman A.	Airport linked	2013	Tunnels and Tunnelling International		MAY		21	28			http://www.scopus.com/inward/record.url?eid=2-s2.0-84877956140&partnerID=40&md5=b5b09e7508b163a3419583d01dba63ea		Greeman, A.	Technical journalist Adrian Greeman asks some of its engineers to recall their engineering achievements and innovations for Brisbane's Airport Link tunnel in Australia. Some 1,700 engineers and designers in total and, at peak, some 3,500 constructors from site workers to miners, supervisors, managers and directors, created in under four years a major underground freeway just more than 6.7-km long from a busy city center and passing beneath continuous built-up residential suburbs. It is one of Australia's and indeed the world's biggest road tunnels speeding traffic from the city center and the south, to the airport area, situated close to the Pacific coast on the north side of the Brisbane river estuary. To create the project, the design build partnership of joint venture consultants Parsons Brinckerhoff and Arup, and the contractors Thiess and John Holland have essentially had to carry through two giant tunnel projects, one by TBM and one by rock excavation.									Greeman, A.								0041414X		TTINF			English	Tunn. Tunn. Int.	Review	Scopus
Raedle A., Steppuhn J., Lenzen F.	Norra laenken's novel lining	2013	Tunnels and Tunnelling International		MAY		65	70			http://www.scopus.com/inward/record.url?eid=2-s2.0-84877984058&partnerID=40&md5=3f04dbf869534c7cebc821c93b72f331	Hochtief Solutions, Norra Laenken, Sweden	Raedle, A., Hochtief Solutions, Norra Laenken, Sweden; Steppuhn, J., Hochtief Solutions, Norra Laenken, Sweden; Lenzen, F., Hochtief Solutions, Norra Laenken, Sweden	The article gives an overview of both the design and construction for the Lot Norra Laenken (NL) 35 road tunnel project, including the pre-grouting works, the drill and blast operations and a new concept for inner lining. A dramatically increasing amount of traffic in the city of Stockholm in the mid-2Oth century led to a plan for a ring road around Stockholm?s inner city, to relieve the center from most traffic. A new concept for the tunnel inner lining structure has been utilized on this project which comprises the use of precast elements, a suspended shell structure and also a sprayed concrete lining. The primary function of the inner lining is to protect the traffic against ice, dripping water, fire and the force. The tunnels are located within the Stockholm granite and granite gneiss which is characterized by vertical dipping joints! fissures and horizontal layering.		drill and blast; gneiss; granite; road transport; tunnel design; tunnel lining; underground construction; Stockholm [Sweden]; Sweden							Hochtief Solutions, Norra LaenkenSweden								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
